Symbol,ETF Name,Asset Class,Total Assets ($MM),YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Label
SMH,VanEck Vectors Semiconductor ETF,Technology,3841.04,0.53,2496865,214.87,0.0107,Semiconductor
SOXL,Direxion Daily Semiconductor Bull 3x Shares,Technology,1880.17,0.6214,802151,444.81,0.0289,Semiconductor
XLE,Energy Select Sector SPDR Fund,Energy,13426.8,-0.3228,33583216,38.12,-0.0052,OilGas
VDE,Vanguard Energy ETF,Energy,3363.96,-0.3264,1061306,52.16,-0.0084,OilGas
XOP,SPDR S&P Oil & Gas Exploration & Production ETF,Energy,2334.76,-0.3586,8189271,59,-0.0145,OilGas
IXC,iShares Global Energy ETF,Energy,1003.17,-0.3063,1016443,20.42,-0.0029,OilGas
GUNR,FlexShares Morningstar Global Upstream Natural Resources Index Fund,Materials,3476.15,0.0026,680138,32.48,0.0015,NaturalResource
GNR,SPDR S&P Global Natural Resources ETF,Materials,1266.45,0.0001,158877,44.8,0.0018,NaturalResource
AMLP,Alerian MLP ETF,Energy,4276.75,-0.2081,3361971,26.17,-0.0095,MLP
AMJ,JPMorgan Alerian MLP Index ETN,Energy,1693.23,-0.353,1283988,14.11,-0.0084,MLP
IHI,iShares U.S. Medical Devices ETF,Healthcare,9029.99,0.2246,171480,322.77,0.0046,MedicalDevice
XLC,Communication Services Select Sector SPDR Fund,Consumer Discretionary,11868.7,0.246,3157874,66.26,0.0011,Media
LIT,Global X Lithium ETF,Materials,1798.42,1.1778,612785,59.24,-0.008,Battery
FDN,First Trust Dow Jones Internet Index,Technology,11302.1,0.5543,387315,216.24,-0.0034,Internet
ARKW,ARK Next Generation Internet ETF,Technology,5496.83,1.6286,939543,151.38,-0.0079,Internet
KWEB,KraneShares CSI China Internet ETF,Technology,3606.04,0.5226,2139760,74.12,-0.034,Internet
EMQQ,Emerging Markets Internet & Ecommerce ETF,Technology,1469,0.7394,284820,61.4,-0.0193,Internet
PNQI,Invesco NASDAQ Internet ETF,Technology,1024.7,0.6161,23386,228.55,-0.0127,Internet
